img|codigo|nombre_memory|moneda|pendiente|detalle
01|4724|ROTI CENTRAL SAS- ANDANTE|USD|109.80|24/07 A-11927 109.80
01|4724|ROTI CENTRAL SAS- ANDANTE|UYU|15330.00|24/07 A-11926 12350 + 02/09 A-12244 2980
02|4729|NICLANI SAS|UYU|13300.00|01/09 A-12231 13300
03|4723|EL MIRADOR- SIRIO SRL|UYU|2000.00|22/07 A-11909 2000
04|4716|SUTEKI SUSHI- RIOS HILARIO R.|UYU|19110.00|17/07 1790 + 03/08 9160 + 14/08 4580 + 28/08 3580
05|4720|FAKE|UYU|21137.00|15/07 2350(de 2450) + 11/08 10233 + 18/08 7420 + 02/09 1134
06|4719|ZONE BURGER - DEBEDENETTI MAURICIO|UYU|9150.00|26/08 A-12171 9150
07|4210|BOWERDIN S.A.-MANZANAR|UYU|53957.00|8 comprobantes, incluye N.CREDITO -2510
08|4209|FOCUM SAS-SALAD BOWL|UYU|21420.00|18/05 3060 + 07/08 6120 + 14/08 6120 + 28/08 6120
09|4714|GABBS S.A.S|UYU|17100.00|6 comprobantes de julio a septiembre
10|4710|OLA POKE - CEL FLEX SRL|UYU|33616.00|6 comprobantes de julio y agosto
11|4713|INFIEL|UYU|5885.00|16/06 Z-21138 5885
12|4201|AAFP SAS- BURGER VILAS-TBV|UYU|115635.00|11 comprobantes, incluye N.CREDITO -6200 y -21722
13|4208|BOWERDIN S.A.- RIO|UYU|17310.00|6 comprobantes, incluye N.CREDITO -621
14|4138|KITCHEN FACTORY SAS|UYU|45029.00|6 comprobantes de agosto
15|4170|NBA-KEVIN CAMPLONE ZABALETA|UYU|18700.00|28/07 10200 + 27/08 8500
16|4195|BLISS COOKIES SAS|UYU|17700.00|30/06 A-11739 17700
17|4136|HDP BURGERS-LASGAR SAS|UYU|58204.00|07/08 9280 + 13/08 9280 + 20/08 19822 + 01/09 19822
18|4133|SISON PINGUIN SAS- DESMADRE CENTRO|UYU|32699.00|10 comprobantes (total 33800, pago parcial en el primero)
19|4134|SICLAR SAS- DESMADRE PTA.CARRETAS|UYU|14350.00|5 comprobantes de julio y agosto
20|4135|PANYCAFECITO SAS-DESMADRE EL PINAR|UYU|3440.00|26/08 2800 + 27/08 640
21|4127|SUSHI APP ZONA- WONDERGROUP SRL|UYU|12400.00|04/08 6200 + 01/09 6200
22|4113|JOSE I.MONDELLI DESMADRE CORDON|UYU|20955.00|5 comprobantes de julio y agosto
24|4114|ESADAR SAS DESMADRE P.CASTELLANO|UYU|52445.00|13 comprobantes desde 11/2025
25|4123|JERO|UYU|15900.00|18/06 Z-21161 (total 30900, pago parcial)
26|4125|LA CHINGADA|UYU|13000.00|23/12/2025 A-10416 (total 26800, pago parcial)
27|4105|CLUB DEL BAJON|UYU|-200.00|03/08 RECIBO 332405 -7558 (queda saldo a favor 200)
28|4111|A LA PAR EVENTOS SAS|UYU|150022.00|14 comprobantes de mayo a agosto (total 153160)
29|4110|SANTO PECADO-FRANCO FRIEDRICH|UYU|16600.00|23/07 A-11920 16600
30|4112|NUEVO PACTO S.A. DESMADRE POCITOS|UYU|62214.00|14 comprobantes desde 01/2026
31|4085|SANGUCHE SAS|UYU|91740.00|9 comprobantes (total 98976, con N.CREDITO -6256)
32|4083|NUEVO PACTO S.A. DESMADRE LAGOMAR|USD|109.80|30/07/2025 A-9289 109.80
32|4083|NUEVO PACTO S.A. DESMADRE LAGOMAR|UYU|125345.00|20 comprobantes desde 11/2025 (primero con pago parcial)
33|4075|MUNDO MILA POCITOS-RIVERA SRL|UYU|79200.00|4 comprobantes de junio a agosto
34|4080|PIZZA CENTRO|USD|550.00|08/07/2025 Z-19176 550
34|4080|PIZZA CENTRO|UYU|8940.00|17/07 Z-21447 8940
35|4104|GRUPO LA RAMBLA SAS 2|UYU|27540.00|01/09 A-12237 27540
36|4009|ALVARADO MATUTE RAUL- HARLEM CORDON|UYU|26060.00|5 comprobantes de agosto
37|4004|SALCHI BURGUER|UYU|96744.00|12 comprobantes de junio a septiembre
38|4024|SANXES ROTISERIA|UYU|1600.00|27/03/2025 A-8573 1600
39|624|HARLEM BEER SAS BUCEO|UYU|10880.00|27/07 1670 + 12/08 4830 + 24/08 4380
40|351|PENTAKILL SRL GARAGE BURGER|UYU|37121.00|11/08 11971 (de 26102) + 24/08 25150
41|4000|AGUIAR MARTIN- BUSTER|UYU|123448.00|5 comprobantes (total 157878, pago parcial en el primero)
42|4003|DIEGO PAGALDAY-GANGSTER BURGER|UYU|5680.00|26/08 A-12172 (total 11360, pago parcial)
43|4002|PIRIZ TURIELLI RODRIGO- BURGERIA|UYU|130653.00|7 comprobantes (total 149328, pago parcial)
44|348|JATAL S.A. PANDA BAR|UYU|59952.00|5 comprobantes, incluye N.CREDITO -2088
45|337|SHARPER BURGER|UYU|4613.00|20/08/2025 Z-18441 4613
46|343|SUSHI APP COSTA-WONDERGROUP SRL|UYU|111100.00|7 comprobantes de junio a agosto
47|341|DVICIO S.A.S|UYU|17515.00|18/08 10855 + 26/08 6660
48|327|AMORE PASTAS|UYU|24150.00|N.CREDITO -2100 + 05/08 26250
49|309|DE DIEZ- CHIVI BURGER|UYU|33800.00|27/08 Z-21783 33800
